sorter,composite_score,silhouette,balance_score,separation_ratio,num_clusters,duration,bins,clusters,config,db_index,images_processed,is_eligible,k_colors,metric
hash_ahash,78.0,0.05877535045146942,0.446400251616073,1.3698490858078003,20,1.2052199840545654,nan,20,nan,2.5693606310720476,596,True,nan,nan
hash_dhash,81.0,0.027383483946323395,0.6396951253166311,0.5918812155723572,5,1.1719539165496826,nan,5,nan,4.272571065717623,596,True,nan,nan
hash_dhash,84.0,0.015306049957871437,0.5977911086852986,0.6478617191314697,10,1.1310412883758545,nan,10,nan,4.02659327011185,596,True,nan,nan
hash_dhash,92.0,0.006687238812446594,0.26552217045958937,0.8527786135673523,20,1.1608049869537354,nan,20,nan,3.4363026380598223,596,True,nan,nan
hash_phash,86.0,0.010582269169390202,0.6636586036691055,0.4897025525569916,5,1.0869019031524658,nan,5,nan,5.3190281124837995,596,True,nan,nan
hash_phash,93.0,0.013070293702185154,0.3522881413989376,0.5816842317581177,10,1.098154067993164,nan,10,nan,4.355675379308578,596,True,nan,nan
hash_phash,88.0,0.006099375430494547,0.5753210196092249,0.653483510017395,20,1.0984714031219482,nan,20,nan,3.8681159275856603,596,True,nan,nan
exp_baseline,50.0,0.24530720710754395,0.09611554012886092,1.8426071405410767,5,1.005129337310791,nan,5,baseline,1.3685973109240706,596,True,nan,cosine
exp_baseline,57.0,0.19771595299243927,0.0,2.1346044540405273,10,0.9819493293762207,nan,10,baseline,1.177088395131491,596,True,nan,cosine
exp_baseline,51.0,0.1993892639875412,0.0,2.4645378589630127,20,0.9797053337097168,nan,20,baseline,1.282103519588045,596,True,nan,cosine
exp_perceptual,50.0,0.24530720710754395,0.09611554012886092,1.8426071405410767,5,0.9924142360687256,nan,5,perceptual,1.3685973109240706,596,True,nan,chi2
exp_perceptual,57.0,0.19771595299243927,0.0,2.1346044540405273,10,1.0058872699737549,nan,10,perceptual,1.177088395131491,596,True,nan,chi2
exp_perceptual,51.0,0.1993892639875412,0.0,2.4645378589630127,20,0.970759391784668,nan,20,perceptual,1.282103519588045,596,True,nan,chi2
exp_spatial,50.0,0.24530720710754395,0.09611554012886092,1.8426071405410767,5,0.9757206439971924,nan,5,spatial,1.3685973109240706,596,True,nan,jsd
exp_spatial,57.0,0.19771595299243927,0.0,2.1346044540405273,10,0.9831910133361816,nan,10,spatial,1.177088395131491,596,True,nan,jsd
exp_spatial,51.0,0.1993892639875412,0.0,2.4645378589630127,20,0.9866392612457275,nan,20,spatial,1.282103519588045,596,True,nan,jsd
deep_embeddings,132.0,0.07717066258192062,0.0,1.4748177528381348,5,17.638109922409058,nan,5,nan,1.250323996130735,596,False,nan,cosine
deep_embeddings,132.0,0.03686719760298729,0.0,1.4035663604736328,10,15.887140035629272,nan,10,nan,1.5562849519872857,596,False,nan,cosine
deep_embeddings,132.0,0.005388082470744848,0.0,1.5103235244750977,20,15.694173812866211,nan,20,nan,1.545395188488619,596,False,nan,cosine
hybrid_embeddings,132.0,0.08163653314113617,0.0,1.4818276166915894,5,15.782768487930298,nan,5,nan,1.2809238939773917,596,False,nan,cosine
hybrid_embeddings,132.0,0.028463119640946388,0.0,1.3717782497406006,10,15.41592526435852,nan,10,nan,1.7585301477950739,596,False,nan,cosine
hybrid_embeddings,88.0,0.017752809450030327,0.0,1.4351024627685547,20,16.531126499176025,nan,20,nan,1.7447599982975972,596,True,nan,cosine
